タイトル,カテゴリ,担当者,開始日,期限,状態,優先度,メモ
開催日時・会場の最終決定,企画,,2026-06-15,2026-06-25,未着手,高,11/7(土)開催で確定。会場（七夕通り商店街）の使用可否を確認
実行委員会の立ち上げ・役割分担,企画,,2026-06-15,2026-06-30,未着手,高,統括／広報／会場／出店／会計／安全 の担当を決める
コンセプト・テーマ設定,企画,,2026-06-20,2026-07-10,未着手,中,
全体タイムスケジュール作成,企画,,2026-07-01,2026-07-20,未着手,中,
雨天時・荒天時の対応方針決定,企画,,2026-09-01,2026-09-30,未着手,中,"中止／延期／決行の判断基準と連絡フロー"
会場使用許可申請（公園・道路占用）,許認可,,2026-06-20,2026-07-31,未着手,高,市役所窓口で確認。リードタイム長めなので早めに着手
道路使用許可申請（警察署）,許認可,,2026-09-01,2026-09-30,未着手,高,開催日の30日前までに申請
火気使用届（消防署）,許認可,,2026-09-20,2026-10-20,未着手,中,キッチンカー・屋台分
食品衛生・臨時出店届（保健所）,許認可,,2026-09-20,2026-10-25,未着手,高,出店者リスト確定後に提出
イベント賠償責任保険の加入,許認可,,2026-09-15,2026-10-15,未着手,高,
救護体制・AED設置・緊急連絡網整備,許認可,,2026-10-01,2026-10-31,未着手,高,
予算案の作成,予算,,2026-06-25,2026-07-15,未着手,高,"収入：協賛金・出店料／支出：会場・備品・謝礼"
協賛金・助成金の募集と申請,予算,,2026-07-15,2026-09-30,未着手,高,地元商店・企業・自治体助成金
出納帳・領収書管理ルール策定,予算,,2026-09-01,2026-09-30,未着手,中,
当日現金（釣銭準備金）の手配,予算,,2026-10-25,2026-11-05,未着手,中,
会場レイアウト図の作成,会場,,2026-07-15,2026-08-31,未着手,中,ステージ／出店／導線／受付／ゴミ置場
テント・机・椅子・発電機・音響・照明の手配,会場,,2026-08-01,2026-09-30,未着手,高,業者見積もり→発注
電源・水道の確認,会場,,2026-08-15,2026-09-15,未着手,中,
看板・のぼり・装飾の制作,会場,,2026-09-15,2026-10-25,未着手,中,
ゴミ分別ステーションの設置計画,会場,,2026-10-01,2026-10-25,未着手,中,
仮設トイレ・手洗い場の確保,会場,,2026-08-01,2026-09-30,未着手,高,
出店ルール策定（出店料・衛生・アレルギー表示）,出店,,2026-07-01,2026-07-25,未着手,中,
出店者（飲食・物販）の募集と選定,出店,,2026-07-15,2026-09-15,未着手,高,キッチンカー・屋台・物販
ステージ出演者の依頼・調整,出店,,2026-08-01,2026-09-30,未着手,中,地域団体・学校・音楽グループ
体験コーナー・子ども向け企画の準備,出店,,2026-08-15,2026-10-15,未着手,中,ワークショップ等
抽選会・ビンゴ等の景品手配,出店,,2026-09-15,2026-10-25,未着手,低,
ステージリハーサル,出店,,2026-10-25,2026-11-05,未着手,中,
チラシ・ポスターのデザイン,広報,,2026-08-15,2026-09-20,未着手,中,
チラシ・ポスターの印刷,広報,,2026-09-20,2026-10-05,未着手,中,
配布先リスト作成（学校・自治会・商店）,広報,,2026-09-15,2026-09-30,未着手,中,
Webサイト・SNS告知（プログラム・交通案内）,広報,,2026-09-20,2026-11-07,未着手,高,段階的に投稿
プレスリリース配信（地域メディア）,広報,,2026-10-01,2026-10-15,未着手,中,
近隣住民への事前案内,広報,,2026-10-15,2026-10-30,未着手,中,騒音・交通影響について
ボランティアの募集,人員,,2026-08-15,2026-10-20,未着手,高,
シフト表作成（受付／案内／警備／救護等）,人員,,2026-10-05,2026-10-25,未着手,高,
当日マニュアル・名札・スタッフTシャツ準備,人員,,2026-09-20,2026-10-30,未着手,中,
ボランティア事前説明会,人員,,2026-10-25,2026-11-02,未着手,中,
駐車場・駐輪場の確保と案内,交通,,2026-08-01,2026-09-30,未着手,中,
公共交通アクセス情報の整備,交通,,2026-09-20,2026-10-15,未着手,低,
交通整理員の配置計画,交通,,2026-10-05,2026-10-25,未着手,高,
近隣商店・住民への挨拶回り,交通,,2026-10-15,2026-10-30,未着手,中,
【当日】設営,当日,,2026-11-07,2026-11-07,未着手,高,早朝〜開場前
【当日】受付開始・開会式,当日,,2026-11-07,2026-11-07,未着手,高,
【当日】進行管理・アナウンス・迷子対応,当日,,2026-11-07,2026-11-07,未着手,高,
【当日】現金回収・中間集計,当日,,2026-11-07,2026-11-07,未着手,中,
【当日】写真・動画記録,当日,,2026-11-07,2026-11-07,未着手,中,広報用素材
【当日】撤収・原状復帰・ゴミ処理,当日,,2026-11-07,2026-11-07,未着手,高,
会場清掃確認・備品返却,事後,,2026-11-08,2026-11-09,未着手,高,
出演者・協賛者・ボランティアへのお礼,事後,,2026-11-08,2026-11-15,未着手,高,メール／手紙
会計報告・残金処理,事後,,2026-11-10,2026-11-30,未着手,中,
アンケート集計・反省会の開催,事後,,2026-11-15,2026-12-15,未着手,中,
開催報告書の作成（次回引き継ぎ用）,事後,,2026-11-20,2026-12-20,未着手,中,
SNS・Webでの開催報告投稿,事後,,2026-11-08,2026-11-15,未着手,中,
